Country,SE.COM.DURS,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SE.PRE.DURS,SE.PRE.ENRL.TC.ZS,SE.PRE.ENRR,SE.PRE.ENRR.FE,SE.PRE.ENRR.MA,SE.PRM.AGES,SE.PRM.CMPT.FE.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.ZS,SE.PRM.DURS,SE.PRM.ENRL,SE.PRM.ENRL.FE.ZS,SE.PRM.ENRL.TC.ZS,SE.PRM.ENRR,SE.PRM.ENRR.FE,SE.PRM.ENRR.MA,SE.PRM.GINT.FE.ZS,SE.PRM.GINT.MA.ZS,SE.PRM.GINT.ZS,SE.PRM.NENR,SE.PRM.OENR.FE.ZS,SE.PRM.OENR.MA.ZS,SE.PRM.OENR.ZS,SE.PRM.PRIV.ZS,SE.PRM.PRSL.FE.ZS,SE.PRM.PRSL.MA.ZS,SE.PRM.PRSL.ZS,SE.PRM.REPT.FE.ZS,SE.PRM.REPT.MA.ZS,SE.PRM.REPT.ZS,SE.PRM.TCHR,SE.PRM.TCHR.FE.ZS,SE.PRM.TENR,SE.PRM.UNER,SE.PRM.UNER.FE,SE.PRM.UNER.FE.ZS,SE.PRM.UNER.MA,SE.PRM.UNER.MA.ZS,SE.PRM.UNER.ZS,SE.SEC.AGES,SE.SEC.CMPT.LO.FE.ZS,SE.SEC.CMPT.LO.MA.ZS,SE.SEC.CMPT.LO.ZS,SE.SEC.DURS,SE.SEC.ENRL,SE.SEC.ENRL.FE.ZS,SE.SEC.ENRL.GC,SE.SEC.ENRL.GC.FE.ZS,SE.SEC.ENRL.LO.TC.ZS,SE.SEC.ENRL.TC.ZS,SE.SEC.ENRL.VO,SE.SEC.ENRL.VO.FE.ZS,SE.SEC.ENRR,SE.SEC.ENRR.FE,SE.SEC.ENRR.MA,SE.SEC.NENR,SE.SEC.NENR.FE,SE.SEC.NENR.MA,SE.SEC.PRIV.ZS,SE.SEC.PROG.FE.ZS,SE.SEC.PROG.MA.ZS,SE.SEC.PROG.ZS,SE.SEC.TCHR,SE.SEC.TCHR.FE,SE.SEC.TCHR.FE.ZS,SE.TER.ENRR,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GB.ZS,SE.XPD.TOTL.GD.ZS,SH.DTH.0509,SH.DTH.1014,SH.DTH.1519,SH.DTH.2024,SH.DYN.0509,SH.DYN.1014,SH.DYN.1519,SH.DYN.2024,SL.TLF.TOTL.FE.ZS,SL.TLF.TOTL.IN,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS
Philippines,13,0.962440014,1.026489973,1.111469984,,1,,99.81633759,98.13240814,101.4249115,6,113.3933105,117.3739929,115.4368973,6,13418841,,,101.8622208,99.86927032,103.7669678,,,,,,,,8.900279999,,,,,,,495636,87.35301971,,500780,263849,4.098490238,236931,3.51748991,3.80140996,12,87.16281128,74.32440186,80.51812744,6,10562477,,,,,,,,84.04538727,88.63725281,79.74775696,,,,24.73031998,,,,421823.8438,298226.8438,70.69937897,,,,,,,,,4741,4346,7165,11435,2.1,2,3.5,5.7,38.75723714,43868305,2.680000067,2.130000114,2.339999914,30.9630402,63.91439103
Poland,10,0.988590002,0.98022002,0.971669972,1.339400053,4,,87.79385376,87.60468292,87.97335815,7,93.95021057,94.69850922,94.33351898,6,2277483,,,96.88519287,96.31520081,97.42668152,,,,,,,,6.19231987,,,,,,,283469,83.01225281,,50722,20806,1.816769958,29916,2.481659889,2.157740116,13,100.0089111,99.89028168,99.94830322,6,2392353,,,,,,,,111.9701996,110.3284378,113.5446625,,,,11.32688046,,,,228412,158525,69.40309906,68.62010193,82.98145294,54.81766129,,,,,,175,226,640,1232,0.4,0.6,1.8,2.8,44.63609168,18390676,3.849999905,3.839999914,3.849999905,15.05227681,67.42990642
Portugal,12,0.974120021,0.98605001,0.995779991,1.124609947,3,,90.96144867,90.45942688,91.43673706,6,99.45384216,99.68160248,99.57019043,6,621660,,,106.8267288,105.3979187,108.1986313,,,,,,,,12.71273994,,,,,,,51382,80.84153748,,2425,,,,,0.416750014,12,98.03520966,91.90608215,94.89417267,6,767094,,,,,,,,120.8339767,120.5736694,121.0841217,,,,17.32003975,,,,82664,58235,70.44783783,65.66265869,70.0112381,61.28699875,,,,,,35,45,114,177,0.4,0.4,1.1,1.6,49.12297554,5267812,7.440000057,6.570000172,6.989999771,13.45790782,64.58823464
Post-demographic dividend,10,0.9986,0.99694,0.99561,1.184200048,5,13.67607,87.2484436,87.30342865,87.19618225,,97.47531128,100.0309372,98.78462982,6,69000000,48.66165,14.12635,100.8239,100.7514,100.8929,99.75744,99.1621,99.45222,96.22047,,,,10.88559,96.11518,95.61586,95.85851,1.14984,1.56511,1.36303,4879190,83.26683,96.26935,952510,461587,1.384160042,490924,1.400249958,1.39241004,,95.10797882,91.90949249,93.4752121,6,83000000,48.56998,69900000,49.52943,12.4354,12.57776,13000000,43.39265,105.1666,104.9295,105.3917,90.7899,91.30044,90.3072,19.487,,,,6659690,4051609,60.8378,78.71056366,86.92848206,70.91622925,,,,,,5779,6971,21184,39745,0.478732382,0.592053466,1.735711712,3.001875446,45.72801561,562012222,5.308382226,5.262216208,5.283426801,16.08987206,64.95400383
Pre-demographic dividend,8.5,0.93484,0.90354,0.82329,0.665759981,3,,29.5905304,29.56656075,29.61392021,,65.59828949,71.51049042,68.58740234,6,151000000,47.86925,35.41248,97.93528,94.59803,101.1918,105.3131,114.6291,110.033,76.64759,,,,12.95321,59.05835,54.59365,56.69872,7.77841,8.00383,7.89592,4305875,46.32934,,33500000,18800000,24.70272064,14700000,18.78166962,21.70594978,,39.53490829,47.12133026,43.36355972,6,53600000,44.62379,50600000,45.01476,,20.52323,2849107,37.67391,41.89602,37.79937,45.91286,35.01341,32.19886,37.77716,21.09425,,,,,,,8.718549728,6.96198988,10.45716953,,,,17.37859535,3.696439981,285678,159360,218436,238455,10.55915418,6.783318458,10.91467687,14.18056062,44.28875597,331374564,5.915585485,5.747211103,5.822484741,43.7518511,53.49433526
Qatar,9,1.010259986,,,1.872169971,6,14.8318,60.26741028,60.64233017,59.91334152,6,94.85153961,96.72670746,95.78588104,6,153908,48.8844,12.1676,103.8424377,104.3871002,103.3268509,107.90628,103.16206,105.45338,94.09431,1.79699,3.23118,2.53008,63.89921188,87.24556732,87.41390991,87.32714844,,,,12649,79.82449341,98.19449,1985,309,0.428719997,1676,2.201270103,1.339290023,12,89.82787323,88.65171051,89.22702026,6,107537,48.94687,106817,49.19254,11.66252,11.04303,720,12.5,,,,,,,49.18120956,,,,9738,5235,53.75846863,17.86992073,54.86745834,7.013450146,,,,,,19,16,43,79,0.7,0.7,1.8,1.5,13.55849699,2085150,0.479999989,0.050000001,0.109999999,13.54076419,85.08916548
Romania,10,0.991530001,0.998149991,1.00248003,1.214959979,6,,88.32218933,88.48486328,88.16850281,6,85.19020844,85.25161743,85.22177124,5,947931,,,87.32537842,86.94352722,87.68643951,,,,,,,,1.369719982,,,,,,,48935,90.2401123,,135701,66576,12.61956024,69125,12.38901043,12.50105953,11,88.33733368,87.70014954,88.01003265,8,1457948,,,,,,,,89.06909943,89.18258667,88.96188354,,,,1.260879993,,,,123660,89297,72.21170807,51.01253891,57.41595078,45.0736618,,,,,,160,210,423,538,0.8,1,2.1,2.6,43.08708661,9054388,3.49000001,4.71999979,4.190000057,15.53455496,66.12674365
Russian Federation,11,0.989109993,0.977890015,0.970380008,1.152310014,5,,86.34588623,85.39541626,87.24685669,7,101.4417801,102.4606171,101.9632111,4,6927980,,,104.6788177,104.0920105,105.2378616,,,,,,,,0.824150026,,,,,,,321587,99.23473358,,10839,,,,,0.163770005,11,102.4173813,104.3482666,103.4049911,7,10242404,,,,,,,,103.7631073,102.1681595,105.2862091,,,,1.305750012,,,,,,,84.5842514,91.72387695,77.75325012,,,,,,1629,1830,3927,7070,0.9,1.2,2.9,4.9,48.57839035,73825997,4.78000021,4.909999847,4.849999905,17.91408058,67.4112111
Rwanda,6,0.986310005,1.011590004,1.124199986,0.806819975,6,36.09968,22.46702957,22.82089996,22.11606979,7,93.76998138,79.27919769,86.54634857,6,2503705,49.70078,59.50859,133.0415497,132.1252594,133.9595032,123.6125,130.50364,127.06357,94.78978,24.01401,25.69242,24.85824,4.126999855,71.31535339,62.08499146,66.61717224,12.62865,14.53765,13.58886,42073,54.86415863,95.28152,81300,38344,4.071340084,42956,4.569340229,4.320109844,13,39.20983124,34.35618973,36.7946701,6,658285,53.156,569711,54.13324,30.31842,28.24773,88574,46.87041,40.89606094,43.27545929,38.49433899,35.87144,38.78909,32.92642,12.44734001,,,,,,,6.725719929,6.014279842,7.454289913,28.56429,38.25006,19.82273,10.80461025,3.073750019,1720,1394,1568,2128,5.2,4.7,6.1,9.4,51.65010215,6179072,1.059999943,0.980000019,1.019999981,39.97557302,57.0862309
Samoa,8,0.998380005,,,1.527889967,2,11.74943,48.764431,52.55445862,45.2402916,5,103.752182,105.7350616,104.7818832,6,33123,48.00592,,110.5242081,110.431282,110.6101532,115.98394,114.05204,114.98069,94.41308,7.55298,9.42399,8.5258,20.07667923,95.73187256,91.12853241,93.33982849,0.83014,1.13808,0.99025,,,95.74675,387,,,,,1.289890051,11,106.7010269,104.3193665,105.4676895,7,,,25583,50.9479,,,,,,,,,,,,,,,,,,14.64204979,20.30426025,9.585889816,,,,,,9,8,14,16,1.9,1.7,3.8,4.9,34.37640872,53240,9.850000381,7.510000229,8.319999695,38.32069709,56.87889093
San Marino,10,1.164759994,1.019050002,0.892400026,0.740440011,6,7.04651,96.3944931,98.45133209,94.50102234,6,125,92.16867065,107.4193497,5,1698,50.53004,6.93061,108.0840225,116.8937302,100.3584213,116,90.47619,102.51572,,,,,,96.84129333,99.41860199,98.18727112,0,0,0,245,91.83673096,,,,,,,,11,109.7222214,97.56098175,103.2467499,8,1653,44.46461,1545,44.14239,6.27632,5.84099,108,49.07407,67.85713959,63.80207825,71.49533081,66.54351,62.5,70.17134,,,,,283,204,72.08480835,42.47126007,35.95238113,48.55556107,,,,13.99802017,3.592859983,0,0,0,1,0.2,0.3,1,1.4,,,,,,,
Sao Tome and Principe,6,,,,,3,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.11654091,5.149069786,19,17,29,42,3.2,3.1,6.3,11.9,36.09510291,70450,20.65999985,8.890000343,13.14000034,42.51994996,54.55437193
Saudi Arabia,9,1.011450052,0.977729976,0.94344002,1.050650001,4,15.03757,21.23175049,21.74430084,20.73480034,6,96.50198364,96.90370941,96.70606232,6,3298788,49.49163,13.81495,99.76989746,100.347023,99.21080017,92.12807,90.904,91.50667,94.5456,4.9908,3.81433,4.39658,8.832150459,,,,1.13631,1.31887,1.22919,238784,52.4733696,95.10772,,,,,,,12,104.3528595,104.9177017,104.6403885,6,3108384,47.58781,3087264,47.91336,11.69841,11.52893,21120,0,110.0862808,106.8226013,113.227211,96.36052,94.10711,98.52917,11.84377003,,,,269616,137028,50.82339096,68.03988647,69.87621307,66.33683014,,,,,,505,474,2411,3359,0.9,0.9,5.3,6.7,15.89952459,14019589,22.48999977,2.930000067,6.039999962,25.04284813,71.64306385
Senegal,11,,,,0.676370025,3,29.80271,,,,6,,,,6,,52.52478,36.31817,,,,100.22302,89.41021,94.74565,,,,,,,,,3.50515,3.67935,3.58786,,,,,,,,,,12,,,,7,,51.87243,1061581,51.95345,28.34724,,25162,48.45402,,,,,,,,,,,,,,12.76259041,10.30508995,15.23583031,31.67194,16.82038,32.84079,21.52940941,4.833280087,2809,1923,3456,2635,6.1,4.9,10.3,9.1,40.40671716,4122275,7.090000153,6.150000095,6.53000021,43.05543037,53.85774593
Serbia,8,1.00030005,1.006559968,1.009809971,1.275470018,6,11.64035,62.28712845,62.0899086,62.47280121,7,98.85852814,98.5918808,98.7212677,4,266759,48.44485,14.2927,100.3019333,100.3174896,100.2873077,99.67687,99.36858,99.51874,94.55098,0.82797,0.94962,0.89069,0.190060005,98.21154785,99.23680878,98.73802948,0.54218,0.57671,0.55998,18664,86.28910828,98.22264,3815,1625,1.261430025,2190,1.596979976,1.43445003,11,98.05084229,97.90619659,97.97640228,8,534106,48.84442,348468,50.34035,7.79948,7.946,185638,46.03637,95.08724213,95.56465912,94.63583374,92.06535,92.5323,91.62383,0.766330004,,,,67217,44184,65.73336792,67.15866089,78.25280762,56.69625854,,,,8.804280281,3.585390091,47,71,149,220,0.5,0.7,1.4,2,44.46326683,3242002,13.69999981,11.96000004,12.72999954,15.68968075,65.96452656
Seychelles,10,1.058680058,1.062379956,1.06833005,1.517869949,2,18.24405,95.36402893,96.47662354,94.31336975,6,105.1966324,98.65772247,101.8531189,6,9258,50.14042,14.48826,100.3794937,103.3162689,97.58985138,104.63918,104.02439,104.32331,92.21011,3.51142,3.72617,3.61849,11.64398003,,,95.98358917,,,,639,88.88889313,92.85742,269,,,,,2.914200068,12,112.4223633,104.6268692,108.4474869,7,7459,50.63681,7371,51.02428,,10.7789,88,18.18182,81.44790649,84.19526672,78.80992889,80.06115,82.59028,77.63271,12.89717007,,,,692,402,58.09249115,17.07984924,23.30401993,11.23561954,,,,,,2,2,7,7,1.2,1.4,5.8,5,,,,,,23.63537118,68.77008322
Sierra Leone,9,1.034860015,,,,3,,13.88317013,14.64243984,13.12555027,6,82.85494232,80.71672821,81.78533936,6,1369738,50.85221,27.52246,112.75457,114.6865692,110.8229065,175.71398,167.98659,171.84957,,0.19224,0.18865,0.19047,5.874479771,,,,1.4941,1.46956,1.48204,49768,29.64355087,,,,,,,,12,50.21850967,51.81317139,51.01734161,7,,,522036,48.89337,15.58025,,,,,,,41.76675,41.00903,42.52242,,,,,,,,,,,31.02487,20.47294,46.3553,32.47322083,6.989630222,3028,1578,4311,4111,14.3,8.2,25.6,28.1,49.73719389,2615236,3.630000114,5.199999809,4.420000076,41.05963935,55.97380444
Singapore,6,0.999279976,0.995630026,0.990400016,1.131049991,6,,,,,6,100.0259094,99.82317352,99.92182922,6,233553,,,100.2618713,100.2249374,100.297142,,,,,,,,3.960129976,,,,,,,16294,80.49588776,,476,150,0.131799996,326,0.273629993,0.204339996,12,99.15769196,100.1153793,99.64659119,4,166709,,,,,,,,105.8442993,105.3234329,106.3439102,,,,5.165890217,,,,14745,9591,65.04577637,88.88645172,95.41782379,82.91300201,,,,,,15,19,58,103,0.3,0.4,1,1.2,41.7532845,3493603,3.789999962,3.549999952,3.650000095,12.27828264,76.25833717
Slovak Republic,10,0.996760011,1.00672996,1.011849999,1.33852005,3,,97.33133698,96.21843719,98.39452362,6,92.5414505,91.82119751,92.17269135,4,229456,,,99.70799255,99.54251099,99.86585236,,,,,,,,8.040320396,,,,,,,14624,90.33779907,,10196,4809,4.280340195,5387,4.573900223,4.430580139,10,80.43598938,82.24629974,81.36399841,9,441952,,,,,,,,91.36260986,91.91429138,90.83804321,,,,11.88500023,,,,39593,29421,74.30859375,45.36722946,54.88909912,36.30809021,,,,,,35,37,93,159,0.6,0.7,1.7,2.5,45.37134603,2754062,7.03000021,6.130000114,6.539999962,15.44613676,68.92461673
Slovenia,9,1.001379967,1.013360023,1.024270058,1.307250023,5,,92.28288269,91.46983337,93.05042267,6,98.14215851,96.70200348,97.39997101,6,129123,,,102.0622177,102.1346283,101.9941101,,,,,,,,0.903010011,,,,,,,,,,294,,,,,0.232710004,12,96.62792206,94.30770874,95.43322754,7,147003,,,,,,,,114.489212,115.9077377,113.161232,,,,4.03869009,,,,,,,77.11312103,91.63233948,63.47811127,,,,,,7,8,25,39,0.3,0.4,1.4,1.9,46.2026988,1037500,5.699999809,4.599999905,5.110000134,15.02177505,65.3713453
Small states,9,0.98271,1.00294,1.03584,1.351430058,4,15.35174,45.28379059,45.72660065,44.85527039,,88.25466919,85.92234039,87.06535339,6,4971616,48.8229,22.18372,106.6432,105.6995,107.5595,102.2879,103.0157,102.6577,85.68541,,,,20.81601,78.04596,73.57759,75.77725,8.42313,11.21652,9.85271,222085.6,67.78097,86.06507,521481,247776,10.78831005,273705,11.57213974,11.18597984,,71.54577637,67.02065277,69.23597717,6,2906972,49.91619,2712533,50.6009,16.77369,14.52619,183018.4,39.76803,71.87618,73.16677,70.63536,,,,18.31485,,,,201176.6,103728.6,51.56095,20.22797966,24.81192017,16.09218025,,,,,,3693,2327,4402,6318,4.680356178,3.193435552,6.381406001,8.811436705,39.15274475,18345473,11.78044021,7.085297797,8.925201634,29.11937475,64.85050823
Solomon Islands,,0.996089995,,,,3,23.34981,84.07077026,84.85584259,83.33389282,6,89.74324036,84.01316833,86.78566742,6,105428,48.28793,25.41046,106.2064896,105.9919586,106.4076004,107.93012,108.07112,108.00289,67.47257,35.99756,36.88989,36.45901,24.71069908,,,,5.26037,6.26754,5.7812,4149,44.34804153,67.47257,4351,1982,4.12650013,2369,4.623700142,4.383130074,12,72.99813843,69.92874908,71.41470337,7,,,52566,49.06784,,,,,,,,,,,,,,,,,,,,,,,,,,41,31,59,65,2.4,2.1,4.3,5.6,48.63799787,327092,0.639999986,0.600000024,0.620000005,40.2415843,56.15946524
Somalia,,,,,,3,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8059,3591,6113,7537,17.3,8.9,17.6,26.3,23.3542128,3817307,13.27000046,12.77999973,12.89000034,46.57658407,50.55010499
South Africa,9,0.961589992,1.003010035,1.070719957,1.316480041,7,,17.62928009,17.70503998,17.55533028,7,92.1242981,88.59403992,90.34449768,7,7568387,,,98.53890228,96.58999634,100.4482574,,,,,,,,4.754159927,,,,,,,,,,845478,386532,10.1693697,458946,11.82952976,11.00796032,14,83.36047363,76.751297,80.03323364,5,4878960,,,,,,,,100.5111694,103.9680862,97.10119629,,,,5.037650108,,,,182981.5938,106561.8281,58.23637009,23.80195999,28.31438065,19.35346031,38.74843,30.76076,15.25153,18.8735199,6.158989906,3130,3263,7461,12966,2.7,3.1,7.7,12.9,45.28107349,22948482,29.04999924,25.13999939,26.90999985,29.07948915,65.60250585
South Asia,9.5,0.98713,0.99665,1.00427,1.011340022,2,,60.99909973,61.63933945,60.41223145,,90.75847626,89.4285202,90.06334686,5,175000000,49.65607,33.24669,99.5641,98.89166,100.1807,103.7881,106.4978,105.2003,87.76227,,,,37.84756,82.03973,79.72504,80.8197,1.20177,1.38362,1.29332,5567339,53.597,91.67923,12600000,6567300,7.805640221,6064248,6.609640121,7.181759834,,81.47086334,78.07746887,79.69064331,7,170000000,47.60807,165000000,48.17813,25.83159,27.19053,3655848,21.91623,70.06026,70.2168,69.91854,60.5279,60.07847,60.93505,50.99964,,,,6152475,2702172,43.92008,24.17538071,24.32000923,24.04421043,,,,,,110430,102368,166421,205169,3.2,2.9,4.8,6.2,22.32219744,664258515,5.420890054,5.012271807,5.102140368,28.4163476,65.74309191
South Asia (IDA & IBRD),9.5,0.98713,0.99665,1.00427,1.011340022,2,,60.99909973,61.63933945,60.41223145,,90.75847626,89.4285202,90.06334686,5,175000000,49.65607,33.24669,99.5641,98.89166,100.1807,103.7881,106.4978,105.2003,87.76227,,,,37.84756,82.03973,79.72504,80.8197,1.20177,1.38362,1.29332,5567339,53.597,91.67923,12600000,6567300,7.805640221,6064248,6.609640121,7.181759834,,81.47086334,78.07746887,79.69064331,7,170000000,47.60807,165000000,48.17813,25.83159,27.19053,3655848,21.91623,70.06026,70.2168,69.91854,60.5279,60.07847,60.93505,50.99964,,,,6152475,2702172,43.92008,24.17538071,24.32000923,24.04421043,,,,,,110430,102368,166421,205169,3.17912834,2.92049804,4.817038281,6.185796763,22.32219744,664258515,5.420890054,5.012271807,5.102140368,28.4163476,65.74309191
Spain,10,1.013659954,1.016860008,1.018730044,1.173110008,6,,95.58686829,95.54454041,95.62670135,6,99.05226135,98.03205872,98.52601624,6,3043396,,,101.9893494,102.7037735,101.3201675,,,,,,,,31.4809494,,,,,,,233424,76.97322845,,91786,40830,2.829050064,50956,3.307130098,3.075900078,12,101.1084366,94.65740204,97.79357147,6,3371069,,,,,,,,126.1791534,127.3823318,125.0407562,,,,30.23258018,,,,294148,170156,57.84706879,91.11257172,99.96835327,82.66291046,,,,,,166,189,398,615,0.3,0.4,0.9,1.4,46.20911637,23065836,17.03000069,13.72999954,15.26000023,14.66700111,65.95449137
Sri Lanka,11,0.989300013,1.024160028,1.046830058,1.326030016,2,13.09234,68.67870331,70.74907684,66.67646027,5,,,,5,1725424,49.23393,21.73735,100.1620178,99.61805725,100.6952667,,,,99.10711,0.93844,0.9559,0.9473,3.075999975,,,,,,,78389,87.6985321,99.27348,9296,,,,,0.539619982,10,,,,8,2727965,51.11506,2622100,51.37066,16.70159,17.52875,105865,44.7844,100.3352203,102.6321182,98.04096985,91.03783,92.25549,89.82158,,,,,155543,110180,70.83571625,19.63023949,23.44222069,15.79930019,29.85557,45.74178,20.74192,11.3308897,2.124209881,276,333,530,756,0.8,1,1.6,2.5,33.54550278,8696194,6.960000038,2.980000019,4.320000172,24.19700102,65.32977922
St. Kitts and Nevis,12,,,,,4,,,,,5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,8,1.4,1.6,6.2,10.3,,,,,,,
St. Lucia,10,1.010800004,1.006410003,1.001760006,1.494799972,4,,73.91699219,77.48162079,70.44335175,5,92.43335724,97.30413055,94.89362335,7,15874,49.61572,14.73909,102.5982437,103.156517,102.0543594,106.84803,98.63014,102.68394,95.39814,2.06958,3.32583,2.70253,6.173620224,90.7827301,93.05895233,91.97969055,2.20924,3.6009,2.91042,1077,86.90808105,98.28723,222,18,0.235760003,204,2.60303998,1.434849977,12,88.05513,84.40574646,86.22001648,5,11792,49.77103,11655,50.14157,11.24507,11.14556,137,18.24818,89.3604126,89.43920135,89.28247833,81.31252,81.71289,80.91649,3.095319986,,,,1058,754,71.26654053,14.06653023,18.68560028,9.439900398,35.06908,40.27441,0,14.36386013,3.331799984,4,3,12,17,1.7,1.4,4.1,5.1,47.42357354,108503,21.12000084,17.63999939,19.29000092,18.528883,71.66458664
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,12,0.988439977,1.005220056,1.026450038,,2,5.58667,110.6234894,111.6545868,109.5873795,5,111.2293091,100.113121,105.5491333,7,13198,49.34839,14.39258,113.4043732,112.740181,114.0590286,111.58537,115.21472,113.3945,,1.75035,3.09648,2.43219,11.2062397,,,,1.27437,2.82723,2.06092,917,83.96946716,,,,,,,,12,96.37187958,88.03778076,92.04360199,5,9808,48.91925,9808,48.91925,,13.8727,,,107.2264099,108.6749725,105.8748932,89.47196,91.64213,87.44717,28.2728405,,,,707,482,68.17539215,,,,36.89875,31.54717,,18.81189919,5.693779945,3,6,11,14,1.6,3.2,6,7.7,41.50467273,57461,16.64999962,20.20999908,18.72999954,22.54130713,67.86890601
Sub-Saharan Africa,8,0.95274,0.93333,0.88483,0.766950011,3,30.39653,31.68096924,31.59100914,31.76888084,,67.26648712,70.24756622,68.77088928,6,175000000,48.3656,37.36194,98.56087,96.14986,100.9192,108.0301,117.7001,112.924,,,,,14.1297,58.83055,53.84443,56.20179,7.38163,7.75538,7.57461,4727632,46.51609,78.37222,34000000,18800000,21.42756081,15200000,16.94286919,19.16044044,,41.59421921,46.52882004,44.07978821,6,63200000,46.5188,59800000,46.86261,,21.60546,3654180,40.89686,43.2942,40.62774,45.916,35.58426,33.98075,37.16512,20.83628,,,,2937928,912631.4,31.06378,9.443989754,8.194490433,10.68447971,,,,17.88060951,4.303765059,312068,180349,241337,266453,10.1,6.7,10.4,13.5,46.245803,415312530,6.546386205,5.964337266,6.233853595,42.53841232,54.47388208
Sub-Saharan Africa (IDA & IBRD countries),8,0.95274,0.93333,0.88483,0.766950011,3,30.39653,31.68096924,31.59100914,31.76888084,,67.26648712,70.24756622,68.77088928,6,175000000,48.3656,37.36194,98.56087,96.14986,100.9192,108.0301,117.7001,112.924,,,,,14.1297,58.83055,53.84443,56.20179,7.38163,7.75538,7.57461,4727632,46.51609,78.37222,34000000,18800000,21.42756081,15200000,16.94286919,19.16044044,,41.59421921,46.52882004,44.07978821,6,63200000,46.5188,59800000,46.86261,,21.60546,3654180,40.89686,43.2942,40.62774,45.916,35.58426,33.98075,37.16512,20.83628,,,,2937928,912631.4,31.06378,9.443989754,8.194490433,10.68447971,,,,17.88060951,4.303765059,312068,180349,241337,266453,10.12385855,6.697194942,10.40219424,13.44312283,46.245803,415312530,6.546386205,5.964337266,6.233853595,42.53841232,54.47388208
Sub-Saharan Africa (excluding high income),8,0.9527,0.93323,0.88452,0.764840007,3,30.39888,31.6559391,31.56591988,31.7439003,,67.24384308,70.22814178,68.74986267,6,175000000,48.3655,37.36509,98.5595,96.14635,100.9199,108.0303,117.7009,112.9245,,,,,14.11931,58.81514,53.82812,56.18586,7.38204,7.75578,7.57502,4721459,46.47234,78.37147,34000000,18800000,21.43882942,15200000,16.95116997,19.17021942,,41.55278015,46.49980927,44.04459,6,63100000,46.51831,59700000,46.8621,,21.60801,3654092,40.89741,43.24609,40.57515,45.87233,35.58147,33.97774,37.16256,20.76783,,,,2926095,905624.4,30.94994,9.411769867,8.153759956,10.6607399,,,,17.79489517,3.989439964,312054,180330,241273,266351,10.12868594,6.701171063,10.4085423,13.45232575,46.25594293,414706742,6.542682852,5.966885146,6.233567072,42.56918332,54.45349575
Sudan,8,,,,,2,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6390,2835,10222,13451,5.7,2.8,11.1,17,30.35378629,12061095,29.04999924,11.56000042,16.87000084,40.50879187,55.91004761
Suriname,6,0.997619987,,,,2,19.57929,86.15779114,86.37124634,85.9591217,6,90.34078979,80.32234192,85.14813232,6,67690,48.1371,13.39335,108.8421173,108.70755,108.9673233,92.78207,93.09581,92.94455,86.02531,14.23705,17.71207,16.0393,1.780169964,97.14556885,82.62116241,89.63069916,13.57196,19.08017,16.44005,5054,95.13256836,86.02531,8601,3640,12.14385986,4961,15.39869976,13.8299799,12,59.43241882,31.93021965,45.17301941,7,58408,,32996,,14.21859,,25412,,82.26363373,,,,,,1.157379985,,,,,,,,,,,,,,,14,18,34,45,1.3,1.7,3.4,4.6,38.42848458,217128,11.40999985,4.239999771,7,27.17026337,65.92336673
Sweden,9,1.017639995,1.041970015,1.065790057,1.374629974,6,,97.31909943,96.99633789,97.62481689,7,103.7391663,104.4896317,104.1240463,6,893495,,,128.6435394,129.7996979,127.5501022,,,,,,,,10.56871986,,,,,,,69249,81.87410736,,892,,,,,0.128470004,13,106.6720886,110.9745789,108.8778992,6,934541,,,,,,,,151.7045441,156.6749573,147.0040283,,,,17.92420006,,,,74439,44182,59.35329819,72.46116638,89.77929688,56.14540863,,,,,,37,47,122,271,0.3,0.4,1.2,2.2,47.70287115,5399893,6.239999771,6.480000019,6.369999886,17.58178546,62.32268961
