Country,SE.COM.DURS,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SE.PRE.DURS,SE.PRE.ENRL.TC.ZS,SE.PRE.ENRR,SE.PRE.ENRR.FE,SE.PRE.ENRR.MA,SE.PRM.AGES,SE.PRM.CMPT.FE.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.ZS,SE.PRM.DURS,SE.PRM.ENRL,SE.PRM.ENRL.FE.ZS,SE.PRM.ENRL.TC.ZS,SE.PRM.ENRR,SE.PRM.ENRR.FE,SE.PRM.ENRR.MA,SE.PRM.GINT.FE.ZS,SE.PRM.GINT.MA.ZS,SE.PRM.GINT.ZS,SE.PRM.NENR,SE.PRM.OENR.FE.ZS,SE.PRM.OENR.MA.ZS,SE.PRM.OENR.ZS,SE.PRM.PRIV.ZS,SE.PRM.PRSL.FE.ZS,SE.PRM.PRSL.MA.ZS,SE.PRM.PRSL.ZS,SE.PRM.REPT.FE.ZS,SE.PRM.REPT.MA.ZS,SE.PRM.REPT.ZS,SE.PRM.TCHR,SE.PRM.TCHR.FE.ZS,SE.PRM.TENR,SE.PRM.UNER,SE.PRM.UNER.FE,SE.PRM.UNER.FE.ZS,SE.PRM.UNER.MA,SE.PRM.UNER.MA.ZS,SE.PRM.UNER.ZS,SE.SEC.AGES,SE.SEC.CMPT.LO.FE.ZS,SE.SEC.CMPT.LO.MA.ZS,SE.SEC.CMPT.LO.ZS,SE.SEC.DURS,SE.SEC.ENRL,SE.SEC.ENRL.FE.ZS,SE.SEC.ENRL.GC,SE.SEC.ENRL.GC.FE.ZS,SE.SEC.ENRL.LO.TC.ZS,SE.SEC.ENRL.TC.ZS,SE.SEC.ENRL.VO,SE.SEC.ENRL.VO.FE.ZS,SE.SEC.ENRR,SE.SEC.ENRR.FE,SE.SEC.ENRR.MA,SE.SEC.NENR,SE.SEC.NENR.FE,SE.SEC.NENR.MA,SE.SEC.PRIV.ZS,SE.SEC.PROG.FE.ZS,SE.SEC.PROG.MA.ZS,SE.SEC.PROG.ZS,SE.SEC.TCHR,SE.SEC.TCHR.FE,SE.SEC.TCHR.FE.ZS,SE.TER.ENRR,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GB.ZS,SE.XPD.TOTL.GD.ZS,SH.DTH.0509,SH.DTH.1014,SH.DTH.1519,SH.DTH.2024,SH.DYN.0509,SH.DYN.1014,SH.DYN.1519,SH.DYN.2024,SL.TLF.TOTL.FE.ZS,SL.TLF.TOTL.IN,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS
Nepal,10,,,,1.067080021,2,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,7,,,,,,,,,,,,,,,,,,,,,,12.41086006,12.82444954,11.96418953,,,,14.10186958,5.102069855,1748,1398,3012,3714,3.1,2.3,4.6,6.1,55.95658902,16089569,2.75,3.089999914,2.900000095,30.41426532,63.8580639
Netherlands,13,0.999050021,1.005849957,1.010630012,1.121269941,3,,88.99539948,89.77503967,88.25628662,6,,,,6,1175018,,,105.2210312,105.1696167,105.2697067,,,,,,,,0.371399999,,,,,,,100658.0234,87.35375977,,4252,,,,,0.380730003,12,,,,6,1632486,,,,,,,,134.2794342,135.008316,133.5884247,,,,6.534880161,,,,114548.0703,61663.57031,53.83205032,87.09784698,92.85855103,81.59803772,,,,,,59,77,208,295,0.3,0.4,1,1.4,46.19242829,9228664,3.960000038,3.720000029,3.829999924,16.10815871,64.69564866
New Zealand,10,1.005970001,1.03718996,1.061879992,1.316740036,5,,94.15686035,93.14273834,95.12499237,5,,,,6,388279,,,101.0714188,101.3811569,100.7791367,,,,,,,,1.897600055,,,,,,,26126.47266,84.22973633,,1109,,,,,0.288679987,11,,,,7,489898.7188,,,,,,,,114.6388321,118.1604309,111.274971,,,,9.13778019,,,,36057,22973.68945,63.71492004,82.98303223,99.13540649,67.7351532,,,,,,26,35,115,163,0.4,0.6,1.9,2.4,47.59627645,2756619,4.46999979,4.150000095,4.300000191,19.65343146,64.69414402
Nicaragua,7,,,,,6,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,258,489,724,1.4,2,4.1,6.1,38.75783374,3007343,5.260000229,5.159999847,5.199999809,30.2016812,64.55082135
Niger,,,,,0.414490014,3,32.58977,8.047699928,8.334890366,7.770289898,7,,,,6,,,,,,,71.34851,79.35151,75.41642,,,,,,,,,,,,68975,52.68865967,,,,,,,,13,16.6900692,21.17358017,18.97120094,7,,,775930,42.54018,,,,,,,,,,,,,,,29225,6546,22.39863014,4.414350033,2.565180063,6.188769817,,,,16.7811203,3.547209978,12172,9188,5138,6603,16.3,15.1,10.6,17.2,42.46823319,8108934,0.379999995,0.540000021,0.469999999,49.98432461,47.42066751
Nigeria,9,,,,,5,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79152,39667,35936,36644,13.7,8.1,8.7,10.7,43.67572013,60517072,8.359999657,8.510000229,8.449999809,43.86663998,53.38598302
North America,11,0.99855,0.99546,0.99239,1.267150044,3,14.54347,71.89816284,72.42719269,71.39247131,,95.67987061,103.9341583,99.89868164,6,27400000,48.75774,14.42524,101.278,101.2032,101.3497,101.677,99.99876,100.819,95.17325,,,,8.56825,94.35627,94.09693,94.22283,1.38108,1.5574,1.47143,1896357,85.68765,95.91021,146692,79336,0.60007,67356,0.488009989,0.54282999,,97.2890625,92.38755798,94.7883606,6,27500000,48.82823,27500000,48.8421,15.19855,14.93963,128050.6,45.85005,100.5326,100.1404,100.9085,93.06775,93.61716,92.54153,8.89719,,,,1842459,1160693,62.99693,86.5175705,100.2244263,73.44947815,,,,,,2659,3419,11919,24294,0.6,0.7,2.6,4.8,46.20271095,185824977,4.025232599,4.184584838,4.111356763,18.41982885,65.62740641
North Macedonia,13,0.997870028,0.986109972,0.978649974,1.242079973,5,,41.83069992,42.2910881,41.40320969,6,92.85910797,93.93965149,93.41673279,5,109818,,,98.17537689,98.06730652,98.27631378,,,,,,,,0.644699991,,,,,,,7457,84.33686066,,781,428,0.792330027,353,0.610289991,0.698199987,11,86.27748108,86.0870285,86.17952728,8,155815,,,,,,,,79.990448,79.10189819,80.82787323,,,,1.510120034,,,,18741,11233,59.93809891,43.11650085,49.24562073,37.32403183,,,,,,13,18,33,45,0.6,0.8,1.3,1.6,39.18679588,959882,19.87000084,21.29999924,20.73999977,16.51699963,69.81281899
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,10,0.999989986,0.977540016,0.955389977,1.323799968,5,,96.00299072,96.08293152,95.92722321,6,99.14031982,99.10820007,99.123909,7,447355,,,100.0776291,100.0771484,100.0780792,,,,,,,,3.432169914,,,,,,,52720.39844,74.46408081,,2,,,,,0.00047,13,97.2229538,98.12776947,97.6848526,6,449330,,,,,,,,117.4500885,114.707901,120.0643311,,,,7.214300156,,,,52711.03906,33689.28125,63.91313934,83.01725769,99.69017792,67.41017151,,,,,,19,24,77,139,0.3,0.4,1.2,2,46.98638337,2799958,3.539999962,4.03000021,3.799999952,17.54903838,65.40173947
